Strategy,Metric,Value
Original Strategy,Total Trades,544
Original Strategy,Successful Trades,285
Original Strategy,Failed Trades,259
Original Strategy,Win Rate,52.39%
Original Strategy,Total RR Gained,440.16800629833455
Original Strategy,Total RR Lost,472.6495500278088
Original Strategy,Net RR,-32.48154372947403
Original Strategy,Average RR per Trade,-0.05970872009094491
Optimized Strategy,Total Trades,544
Optimized Strategy,Successful Trades,193
Optimized Strategy,Failed Trades,351
Optimized Strategy,Win Rate,35.48%
Optimized Strategy,Total RR Gained,3731.1007619144934
Optimized Strategy,Total RR Lost,11095.531120768852
Optimized Strategy,Net RR,-7364.430358854356
Optimized Strategy,Average RR per Trade,-13.537555806717567
